7zip 26.01-1
acpi_call-dkms 1.2.2-3
android-tools 35.0.2-25
aquamarine 0.11.0-2
awww 0.12.0-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bbswitch-dkms 0.8-821
bind 9.20.22-1
bitwarden 2026.2.1-1
blender 17:5.1.2-1
bluetui 0.8.1-2
bluez 5.86-6
bluez-deprecated-tools 5.86-6
bluez-utils 5.86-6
brightnessctl 0.5.1-3
btop 1.4.7-1
bun 1.3.14-1
ccache 4.13.6-1
cdrtools 3.02a09-6
check 0.15.2-4
chromium 148.0.7778.167-2
cliphist 1:0.7.0-2
cloudflared 2026.5.0-1
cmake 4.3.2-1
cpio 2.15-3
ddcutil 2.2.7-1
distrobox 1.8.2.5-1
dnsmasq 2.92.rel2-2
docker 1:29.5.1-1
docker-buildx 0.34.0-1
docker-compose 5.1.3-1
dolphin 26.04.1-1
dosfstools 4.2-5
dunst 1.13.2-1
efibootmgr 18-4
exfatprogs 1.3.2-1
eza 0.23.4-3
fcitx5 5.1.19-1
fcitx5-configtool 5.1.13-1
fcitx5-gtk 5.1.6-1
fcitx5-qt 5.1.13-4
fcitx5-unikey 5.1.10-1
fd 10.4.2-2
ffmpeg4.4 4.4.6-5
flatpak 1:1.16.6-1
fzf 0.72.0-1
geoclue 2.8.1-1
gimp 3.2.4-1
git 2.54.0-1
git-filter-repo 2.47.0-3
github-cli 2.92.0-2
gitleaks 8.30.1-1
glaze 7.6.0-1
gnome-keyring 1:50.0-1
go 2:1.26.3-1
greetd 0.10.3-2
greetd-agreety 0.10.3-2
grim 1.5.0-2
grub 2:2.14-1
gst-plugin-pipewire 1:1.6.5-1
gst-plugins-bad 1.28.3-1
hyprcursor 0.1.13-6
hyprgraphics 0.5.1-2
hypridle 0.1.7-9
hyprland 0.55.2-1
hyprland-guiutils 0.2.1-5
hyprlang 0.6.8-4
hyprlock 0.9.5-2
hyprpicker 0.4.7-1
hyprpolkitagent 0.1.3-7
hyprsunset 0.3.3-7
hyprwire 0.3.1-2
iptables 1:1.8.13-1
jdk17-openjdk 17.0.19.u10-1
jq 1.8.1-3
kitty 0.46.2-1
kvantum 1.1.7-1
kvantum-qt5 1.1.7-1
lazygit 0.61.1-1
less 1:692-1
lib32-mesa 1:26.0.6-1
lib32-nvidia-utils 595.71.05-1
libdisplay-info 0.3.0-1
libinput 1.31.2-1
libinput-tools 1.31.2-1
libliftoff 0.5.0-1
libreoffice-still 25.8.7-2
libvirt 1:12.3.0-1
linux-firmware 20260410-1
linux-lts 6.18.32-1
linux-lts-headers 6.18.32-1
linux-zen 7.0.9.zen1-1
linux-zen-headers 7.0.9.zen1-1
lld 22.1.5-3
lua51 5.1.5-13
luarocks 3.13.0-5
lvm2 2.03.40-1
man-db 2.13.1-1
man-pages 6.18-1
mesa 1:26.0.6-1
meson 1.11.1-1
mpd 0.24.12-1
mpv 1:0.41.0-3
mtools 1:4.0.49-1
muparser 2.3.5-2
ncdu 2.9.2-1
neovim 0.12.2-1
networkmanager 1.56.1-1
network-manager-applet 1.36.0-2
networkmanager-openvpn 1.12.5-1
ninja 1.13.2-3
nodejs 26.1.0-2
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.05.01-1
npm 11.14.1-1
ntfs-3g 2022.10.3-2
nvidia-open-dkms 595.71.05-2
nvidia-prime 1.0-6
nvidia-settings 595.71.05-1
nvidia-utils 595.71.05-2
nvm 0.40.4-1
nvtop 3.3.2-1
nwg-displays 0.4.3-1
nwg-look 1.1.1-1
obsidian 1.12.7-2
obs-studio 32.1.2-3
okular 26.04.1-1
opencl-nvidia 595.71.05-2
opencode 1.15.4-1
openssh 10.3p1-1
openvpn 2.7.4-1
os-prober 1.84-1
otf-font-awesome 7.2.0-1
pavucontrol 1:6.2-1
pipewire-alsa 1:1.6.5-1
pipewire-jack 1:1.6.5-1
pipewire-pulse 1:1.6.5-1
podman 5.8.2-1
power-profiles-daemon 0.30-1
powertop 2.15-2
python-build 1.4.3-1
python-hatchling 1.29.0-1
python-installer 1.0.0-1
qemu-desktop 11.0.0-1
qemu-full 11.0.0-1
quickshell 0.3.0-1
radeontop 1.4-3
re2 2:2025.11.05-3
resvg 0.47.0-2
rofi 2.0.0-1
rustup 1.29.0-2
satty 0.20.1-2
scrcpy 4.0-1
seahorse 1:47.0.1-6
slurp 1.5.0-2
socat 1.8.1.1-1
solaar 1.1.19-1
speedtest-cli 2.1.3-10
steam 1.0.0.85-6
stow 2.4.1-1
sudo 1.9.17.p2-2
swappy 1.8.0-1
syncthing 2.1.0-1
tailscale 1.98.2-1
terraform 1.15.2-1
tmux 3.6_a-1
tomlplusplus 3.4.0-2
tree 2.3.2-1
tree-sitter-cli 0.26.9-1
udiskie 2.6.2-1
unixodbc 2.3.14-1
usbutils 019-1
virt-manager 5.1.0-3
virt-viewer 11.0-4
vulkan-radeon 1:26.0.6-1
waybar 0.15.0-2
waydroid 1.6.2-1
wayland-protocols 1.48-1
wev 1.1.0-1
wget 1.25.0-4
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
xcb-util 0.4.1-2
xcb-util-errors 1.0.1-2
xcb-util-wm 0.4.2-2
xdg-desktop-portal-hyprland 1.3.12-2
xorg-xwayland 24.1.11-2
yazi 26.5.6-2
yq 3.4.3-3
zathura 2026.05.11-1
zathura-pdf-mupdf 2026.05.10-2
zoxide 0.9.9-2
zsh 5.9-6
